,Offense,Longitude,Latitude
21127,4E-Common Assault,-76.5942505102,39.3191725128
21128,Unknown Offense,-76.5952164515,39.3160194941
21129,Unknown Offense,-76.6434619223,39.3073107545
21130,Unknown Offense,-76.6434636669,39.307344944
21131,Unknown Offense,-76.6415206496,39.3101336559
21132,Unknown Offense,-76.6415206496,39.3101336559
21133,Unknown Offense,-76.6390442863,39.3042550405
21134,Unknown Offense,-76.6358889312,39.3103676033
21135,4B-Agg. Asslt.- Cut,-76.6417193822,39.3012935089
21136,6C-Larceny- Shoplifting,-76.6347411003,39.3375552604
21137,4A-Agg. Asslt.- Gun,-76.60061164,39.362377624
21138,Unknown Offense,-76.6189153016,39.3033865826
21139,Unknown Offense,-76.5754712448,39.2927172639
21140,4C-Agg. Asslt.- Oth.,-76.5935245423,39.2824829839
21141,Unknown Offense,-76.6879424081,39.2943076599
21142,Unknown Offense,-76.6105174972,39.2978956388
21143,4E-Common Assault,-76.6081300241,39.3282863922
21144,Unknown Offense,-76.5885649754,39.359519261
21145,Unknown Offense,-76.6078766304,39.3538327038
21146,Unknown Offense,-76.6036141282,39.2367401293
21147,Unknown Offense,-76.6925746837,39.2934997459
21148,5A-Burg. Res. (Force),-76.6847037102,39.3368300621
21149,5A-Burg. Res. (Force),-76.6847037102,39.3368300621
21150,3JO-Robb Residence-Other Wpn,-76.6850002972,39.3459795248
21151,Unknown Offense,-76.6822011036,39.2817892999
21152,Unknown Offense,-76.6101536574,39.2897590702
21153,Unknown Offense,-76.6890157015,39.350329035
21154,Unknown Offense,-76.6815274732,39.3452300632
21155,Unknown Offense,-76.5653465821,39.2887286166
21156,Unknown Offense,-76.5653465821,39.2887286166
21157,4E-Common Assault,-76.5659602664,39.2866302846
21158,Unknown Offense,-76.5666310939,39.2907868717
21159,Unknown Offense,-76.5993789529,39.2353090168
21160,Unknown Offense,-76.571219644,39.323453403
21161,Unknown Offense,-76.5712467336,39.2958396988
21162,Unknown Offense,-76.5712467336,39.2958396988
21163,5A-Burg. Res. (Force),-76.6826434092,39.3264289352
21164,Unknown Offense,-76.5708125336,39.2948057894
21165,4E-Common Assault,-76.5728194879,39.2956320764
21166,6G-Larceny- From Bldg.,-76.6603078402,39.2598192813
21167,Unknown Offense,-76.6304928807,39.2495807851
21168,4E-Common Assault,-76.6563009054,39.2847011286
21169,Unknown Offense,-76.6427462378,39.3102244897
21170,6C-Larceny- Shoplifting,-76.5778725355,39.3179298854
21171,5A-Burg. Res. (Force),-76.6527022596,39.267838442
21172,6C-Larceny- Shoplifting,-76.655814669,39.2834251497
21173,Unknown Offense,-76.5839126099,39.3036744816
21174,Unknown Offense,-76.6500048426,39.2850414621
21175,Unknown Offense,-76.6504975496,39.2893842589
21176,Unknown Offense,-76.6504975496,39.2893842589
21177,87-Narcotics,-76.6390007803,39.3071632523
21178,Unknown Offense,-76.6527063773,39.2843942686
21179,Unknown Offense,-76.5970007824,39.2936752754
21180,Unknown Offense,-76.5970007824,39.2936752754
21181,Unknown Offense,-76.5917491438,39.3143019627
21182,Unknown Offense,-76.5794136567,39.3583910221
21183,Unknown Offense,-76.5793999556,39.3584448909
21184,48-Involuntary Detention,-76.5844451159,39.3101232924
21185,7C-Stolen Veh./Other,-76.6431672686,39.3119162651
21186,87-Narcotics,-76.6415206496,39.3101336559
21187,Unknown Offense,-76.6336646713,39.2998269007
21188,Unknown Offense,-76.6223846305,39.2904152113
21189,Unknown Offense,-76.6325689713,39.3105633489
21190,5D-Burg. Oth. (Force),-76.5697017933,39.2818624932
21191,Unknown Offense,-76.5782549524,39.3015044636
21192,6C-Larceny- Shoplifting,-76.5909701956,39.3002731726
21193,Unknown Offense,-76.64562811,39.2978776695
21194,7A-Stolen Auto,-76.5867677948,39.2998941421
21195,95-Exparte,-76.5945023411,39.2995117216
21196,4B-Agg. Asslt.- Cut,-76.7089303263,39.3641285933
21197,Unknown Offense,-76.6061318559,39.3285199159
21198,87-Narcotics,-76.6356789283,39.3042766852
21199,6D-Larceny- From Auto,-76.5475650732,39.2874536001
21200,87-Narcotics,-76.6919504205,39.3488251228
21201,Unknown Offense,-76.5899438623,39.3543057039
21202,118-Burglary - Fourth Degree,-76.6835389276,39.3441175176
21203,Unknown Offense,-76.5850289661,39.2966841521
21204,4E-Common Assault,-76.6955599131,39.318721997
21205,Unknown Offense,-76.6925746837,39.2934997459
21206,3K-Robb Res. (Ua),-76.5608067082,39.3275013463
21207,111-Protective Order,-76.5871477376,39.2282728702
21208,Unknown Offense,-76.7003864509,39.3378269257
21209,55-Disorderly Person,-76.6101536574,39.2897590702
21210,Unknown Offense,-76.5687258608,39.3215648409
21211,3K-Robb Res. (Ua),-76.5682800895,39.2949650803
21212,87-Narcotics,-76.6068576596,39.2377401639
21213,Unknown Offense,-76.5753189334,39.280358745
21214,24-Towed Vehicle,-76.5781856045,39.2802620728
21215,3AF-Robb Hwy-Firearm,-76.5803108009,39.2968357538
21216,Unknown Offense,-76.5604855655,39.3661068164
21217,3AF-Robb Hwy-Firearm,-76.5801764405,39.2945317461
21218,6C-Larceny- Shoplifting,-76.655814669,39.2834251497
21219,87-Narcotics,-76.6768190487,39.3120256956
21220,Unknown Offense,-76.6374713057,39.3091538569
21221,6C-Larceny- Shoplifting,-76.6524485086,39.3157791608
21222,4C-Agg. Asslt.- Oth.,-76.6182584152,39.2894216017
21223,7A-Stolen Auto,-76.6527405736,39.3096990066
21224,4E-Common Assault,-76.6052147865,39.3121570231
21225,Unknown Offense,-76.6451042446,39.2852682322
21226,Unknown Offense,-76.6451042446,39.2852682322
21227,55-Disorderly Person,-76.6490082841,39.3088440926
21228,87-Narcotics,-76.6450926646,39.3099739114
21229,4B-Agg. Asslt.- Cut,-76.5958812022,39.3052713777
21230,Unknown Offense,-76.6415206496,39.3101336559
21231,Unknown Offense,-76.6415206496,39.3101336559
